,Data,Cota,Variação,fund_id,PL
0,2012-03-07,1.0,0.0,26,450000.0
1,2012-03-08,1.0003475,0.0003475,26,450156.39
2,2012-03-09,1.0006704,0.0003227878,26,450301.7
3,2012-03-12,1.0012742,0.0006033955,26,1800573.39
4,2012-03-13,1.0052404,0.0039611527,26,1807705.86
5,2012-03-14,1.0063897,0.0011433086,26,1809772.65
6,2012-03-15,0.9878702,-0.0184019173,26,2676469.33
7,2012-03-16,0.9850185,-0.0028867153,26,2668743.06
8,2012-03-19,0.9819764,-0.0030883684,26,2660501.16
9,2012-03-20,0.9833829,0.0014323155,26,2664311.87
10,2012-03-21,0.9888826,0.0055926333,26,2679212.37
11,2012-03-22,0.9901081,0.0012392775,26,2682532.63
12,2012-03-23,0.9891003,-0.0010178687,26,2679802.04
13,2012-03-26,0.9859963,-0.0031382055,26,2671392.34
14,2012-03-27,0.9891418,0.0031901742,26,2679914.5
15,2012-03-28,0.9901875,0.0010571791,26,2682747.77
16,2012-03-29,0.9910057,0.0008263081,26,2684964.58
17,2012-03-30,0.9900319,-0.0009826381,26,2682326.17
18,2012-04-02,0.9946444,0.0046589408,26,2694822.95
19,2012-04-03,1.0024079,0.0078053021,26,2715856.78
20,2012-04-04,1.0096234,0.0071981675,26,2735406.0
21,2012-04-05,1.0088405,-0.0007754377,26,2733284.83
22,2012-04-09,1.0108039,0.0019461947,26,2738604.38
23,2012-04-10,1.0099811,-0.0008140056,26,2736375.17
24,2012-04-11,1.0097203,-0.0002582227,26,2735668.6
25,2012-04-12,1.0101358,0.0004115001,26,2836794.41
26,2012-04-13,1.0037501,-0.0063216253,26,2818861.07
27,2012-04-16,0.9998225,-0.0039129261,26,2807831.08
28,2012-04-17,1.0089033,0.0090824121,26,2833332.92
29,2012-04-18,1.0113737,0.0024485994,26,2840270.61
30,2012-04-19,1.0494613,0.0376592747,26,2947233.33
31,2012-04-20,1.0511836,0.0016411277,26,2952069.98
32,2012-04-23,1.0426525,-0.0081157088,26,2928111.93
33,2012-04-24,1.0463464,0.0035427911,26,2938485.66
34,2012-04-25,1.0460825,-0.0002522109,26,2937744.32
35,2012-04-26,1.0497487,0.0035046949,26,2948040.22
36,2012-04-27,1.0571597,0.0070597849,26,3068852.76
37,2012-04-30,1.0585727,0.0013366003,26,3072954.77
38,2012-05-02,1.0673103,0.0082541331,26,3098319.25
39,2012-05-03,1.071551,0.0039732588,26,3110629.7
40,2012-05-04,1.0826077,0.0103184076,26,3142726.45
41,2012-05-07,1.0791586,-0.0031859186,26,3132713.92
42,2012-05-08,1.074159,-0.0046328686,26,3118200.62
43,2012-05-09,1.0653265,-0.0082227119,26,3092560.47
44,2012-05-10,1.0684423,0.0029247372,26,3121605.36
45,2012-05-11,1.0753406,0.0064564085,26,3141759.82
46,2012-05-14,1.0801747,0.0044954129,26,3155883.31
47,2012-05-15,1.0906757,0.0097215756,26,3186563.3
48,2012-05-16,1.1007873,0.0092709501,26,3216106.02
49,2012-05-17,1.1007739,-0.0000121731,26,3216066.84
50,2012-05-18,1.1013082,0.0004853858,26,3217627.66
51,2012-05-21,1.0866634,-0.01329764,26,3174840.83
52,2012-05-22,1.0830496,-0.0033255928,26,3164282.64
53,2012-05-23,1.0814703,-0.0014581973,26,3159668.64
54,2012-05-24,1.0410786,-0.0373488759,26,3041658.5
55,2012-05-25,1.0413675,0.0002775007,26,3042502.45
56,2012-05-28,1.0427809,0.0013572538,26,3146632.13
57,2012-05-29,1.0366211,-0.0059070894,26,3128044.6
58,2012-05-30,1.0345062,-0.0020401861,26,3141662.66
59,2012-05-31,1.0375514,0.0029436266,26,3133842.42
60,2012-06-01,1.0393269,0.0017112405,26,3439205.27
61,2012-06-04,1.0371197,-0.0021236822,26,3431901.41
62,2012-06-05,1.0369991,-0.0001162836,26,3431502.4
63,2012-06-06,1.0362681,-0.0007049186,26,3449083.55
64,2012-06-08,1.0416979,0.0052397637,26,3467155.84
65,2012-06-11,1.0467443,0.0048443987,26,3483952.06
66,2012-06-12,1.0485428,0.0017181847,26,3489938.07
67,2012-06-13,1.0426354,-0.005633914,26,3470276.03
68,2012-06-14,1.0443942,0.0016868792,26,3476130.06
69,2012-06-15,1.0428395,-0.0014886142,26,3470955.54
70,2012-06-18,1.0435879,0.000717656,26,3473446.33
71,2012-06-19,1.042409,-0.0011296605,26,3469522.73
72,2012-06-20,1.0413764,-0.0009905901,26,3466085.78
73,2012-06-21,1.0434824,0.0020223235,26,3473095.21
74,2012-06-22,1.0425148,-0.0009272797,26,3469874.68
75,2012-06-25,1.0475361,0.0048165263,26,3486587.58
76,2012-06-26,1.0475522,0.0000153694,26,3486640.92
77,2012-06-27,1.0482808,0.0006955262,26,3489066.15
78,2012-06-28,1.0493616,0.0010310215,26,3492663.38
79,2012-06-29,1.0461637,-0.0030474719,26,3482019.63
80,2012-07-02,1.0469387,0.0007408018,26,3464504.17
81,2012-07-03,1.0432081,-0.0035633414,26,3452158.98
82,2012-07-04,1.0430617,-0.0001403363,26,3451674.55
83,2012-07-05,1.0377449,-0.0050973015,26,3434080.42
84,2012-07-06,1.0450046,0.0069956499,26,3458103.87
85,2012-07-09,1.0456963,0.000661911,26,3460392.96
86,2012-07-10,1.0531898,0.0071660386,26,3485190.16
87,2012-07-11,1.0538604,0.0006367323,26,3487409.45
